Time	subj	trialNr	ground1	speed1	dist1	ground2	speed2	dist2	answ	rTime	Speed	Dist	speed_comparison	antwort	condition
2252.734569	4	74	viz.VizPrimitive(8)	1.75	7	viz.VizPrimitive(6)	3.5	7	1	1.89867019999974	normal	short	slowfast	1	1
2267.8392698	4	75	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(5)	0.35	7	1	0.321983000000273	slow	short	fastslow	0	0
2305.3455635	4	76	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(5)	3.5	35	0	2.57645700000012	normal	long	slowfast	0	2
2345.1174748	4	77	viz.VizPrimitive(6)	0.7	7	viz.VizPrimitive(5)	0.35	7	1	1.3992674000001	slow	short	fastslow	0	0
2414.3992683	4	79	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(8)	1.75	35	1	1.0711839999999	normal	long	fastslow	0	2
2452.6718166	4	80	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	0	1.57707259999961	normal	long	fastslow	1	2
2491.4256249	4	81	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(8)	1.75	35	0	1.38172910000003	normal	long	fastslow	1	2
2529.9945071	4	82	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(6)	0.7	7	0	2.90949969999974	slow	short	slowfast	0	0
2570.0996326	4	83	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(7)	0.35	7	0	1.59886229999984	slow	short	fastslow	1	0
2608.8831213	4	84	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(6)	0.7	7	0	1.9767480999999	slow	short	slowfast	0	0
2656.9849736	4	85	viz.VizPrimitive(6)	3.5	35	viz.VizPrimitive(5)	1.75	35	0	1.66565360000004	normal	long	fastslow	1	2
2695.8462554	4	86	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(5)	0.35	7	0	1.04368560000012	slow	short	fastslow	1	0
2734.0854646	4	87	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(7)	3.5	35	0	1.2422789000002	normal	long	slowfast	0	2
2772.5135506	4	88	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(8)	0.7	7	1	1.74356520000038	slow	short	slowfast	1	0
2843.4501534	4	90	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(8)	3.5	7	1	1.15569550000009	normal	short	slowfast	1	1
2857.7995082	4	91	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(8)	0.35	7	0	1.72135090000029	slow	short	fastslow	1	0
